Stock,Weightage,Price
RELIANCE,0.1286,2355.5
HDFCBANK,0.081,1692.45
INFY,0.0766,1389.2
ICICIBANK,0.069,899.0
TCS,0.0491,3188.8501
KOTAKBANK,0.0351,1869.5
ITC,0.0303,395.60001
LT,0.0274,2258.75
HINDUNILVR,0.0267,2536.2
AXISBANK,0.0257,864.34998
SBIN,0.0254,532.95001
BAJFINANCE,0.0237,5904.4502
BHARTIARTL,0.0233,767.04999
ASIANPAINT,0.0195,2809.75
HCLTECH,0.0153,1071.85
TITAN,0.0137,2585.6499
TATASTEEL,0.0137,107.5
MARUTI,0.0137,8670.7998
SUNPHARMA,0.0134,1003.5
BAJAJFINSV,0.012,1341.3
TECHM,0.0105,1086.85
TATAMOTORS,0.0105,469.5
POWERGRID,0.0104,231.2
ULTRACEMCO,0.0102,7655.25
WIPRO,0.0101,368.29999
NTPC,0.0099,173.05
HINDALCO,0.0094,422.04999
JSWSTEEL,0.0094,720.65002
NESTLEIND,0.0087,19465.35
GRASIM,0.0085,1701.1
INDUSINDBK,0.0085,1109.3
ADANIPORTS,0.0082,661.65002
ONGC,0.0078,158.75
HDFCLIFE,0.0072,531.84998
DIVISLAB,0.0077,3183.95
CIPLA,0.0068,915.75
DRREDDY,0.0067,4852.8999
TATACONSUM,0.0066,719.59998
SBILIFE,0.0065,1130.25
UPL,0.006,737.0
APOLLOHOSP,0.0061,4398.2998
BRITANNIA,0.0052,4264.2002
EICHERMOT,0.0049,3213.05
COALINDIA,0.0051,225.5
BPCL,0.0046,332.25
SHREECEM,0.0046,25808.199
HEROMOTOCO,0.0043,2447.05
HDFCBANK,0.081,1692.45
