Stock,Weightage,Price,toBeInvested,noOfSharesToBuy,Money Invested
RELIANCE,0.1286,2355.5,57870.0,24.0,56532.0
HDFCBANK,0.081,1692.45,36450.0,21.0,35541.450000000004
INFY,0.0766,1389.2,34470.0,24.0,33340.8
ICICIBANK,0.069,899.0,31050.000000000004,34.0,30566.0
TCS,0.0491,3188.8501,22095.0,6.0,19133.1006
KOTAKBANK,0.0351,1869.5,15795.0,8.0,14956.0
ITC,0.0303,395.60001,13635.0,34.0,13450.40034
LT,0.0274,2258.75,12330.0,5.0,11293.75
HINDUNILVR,0.0267,2536.2,12015.0,4.0,10144.8
AXISBANK,0.0257,864.34998,11565.0,13.0,11236.549739999999
SBIN,0.0254,532.95001,11430.0,21.0,11191.95021
BAJFINANCE,0.0237,5904.4502,10665.0,1.0,5904.4502
BHARTIARTL,0.0233,767.04999,10485.0,13.0,9971.64987
ASIANPAINT,0.0195,2809.75,8775.0,3.0,8429.25
HCLTECH,0.0153,1071.85,6885.0,6.0,6431.099999999999
TITAN,0.0137,2585.6499,6165.0,2.0,5171.2998
TATASTEEL,0.0137,107.5,6165.0,57.0,6127.5
MARUTI,0.0137,8670.7998,6165.0,0.0,0.0
SUNPHARMA,0.0134,1003.5,6030.0,6.0,6021.0
BAJAJFINSV,0.012,1341.3,5400.0,4.0,5365.2
TECHM,0.0105,1086.85,4725.0,4.0,4347.4
TATAMOTORS,0.0105,469.5,4725.0,10.0,4695.0
POWERGRID,0.0104,231.2,4680.0,20.0,4624.0
ULTRACEMCO,0.0102,7655.25,4590.0,0.0,0.0
WIPRO,0.0101,368.29999,4545.0,12.0,4419.59988
NTPC,0.0099,173.05,4455.0,25.0,4326.25
HINDALCO,0.0094,422.04999,4230.0,10.0,4220.4999
JSWSTEEL,0.0094,720.65002,4230.0,5.0,3603.2501
NESTLEIND,0.0087,19465.35,3914.9999999999995,0.0,0.0
GRASIM,0.0085,1701.1,3825.0000000000005,2.0,3402.2
INDUSINDBK,0.0085,1109.3,3825.0000000000005,3.0,3327.8999999999996
ADANIPORTS,0.0082,661.65002,3690.0000000000005,5.0,3308.2501
ONGC,0.0078,158.75,3510.0,22.0,3492.5
HDFCLIFE,0.0072,531.84998,3240.0,6.0,3191.0998799999998
DIVISLAB,0.0077,3183.95,3465.0,1.0,3183.95
CIPLA,0.0068,915.75,3060.0,3.0,2747.25
DRREDDY,0.0067,4852.8999,3015.0,0.0,0.0
TATACONSUM,0.0066,719.59998,2970.0,4.0,2878.39992
SBILIFE,0.0065,1130.25,2925.0,2.0,2260.5
UPL,0.006,737.0,2700.0,3.0,2211.0
APOLLOHOSP,0.0061,4398.2998,2745.0,0.0,0.0
BRITANNIA,0.0052,4264.2002,2340.0,0.0,0.0
EICHERMOT,0.0049,3213.05,2205.0,0.0,0.0
COALINDIA,0.0051,225.5,2295.0,10.0,2255.0
BPCL,0.0046,332.25,2070.0,6.0,1993.5
SHREECEM,0.0046,25808.199,2070.0,0.0,0.0
HEROMOTOCO,0.0043,2447.05,1935.0,0.0,0.0
HDFCBANK,0.081,1692.45,36450.0,21.0,35541.450000000004
